eegLowAlpha,eSenseMeditation,objectId,eegTheta,eegLowBeta,eegHighGamma,eegLowGamma,updatedAt,eegDelta,poorSignal,eegHighBeta,createdAt,eegHighAlpha,eSenseAttention
41955,70,s6ENVGA1hE,165005,92013,67746,23822,2014-08-03T19:08:46.607Z,770284,26,62184,2014-08-03T19:08:46.607Z,302293,44
0,0,1mFucdDo8l,0,0,0,0,2014-08-03T19:08:47.580Z,0,0,0,2014-08-03T19:08:47.580Z,0,0
51821,70,lw3G0ZbXFc,126329,90409,97086,17235,2014-08-03T19:08:47.596Z,2741708,26,24225,2014-08-03T19:08:47.596Z,63113,44
14690,78,OUxqkuWh0h,69898,5058,3033,2203,2014-08-03T19:08:48.587Z,270103,0,6640,2014-08-03T19:08:48.587Z,19915,35
0,0,Nd3fYRTvDg,0,0,0,0,2014-08-03T19:08:48.589Z,0,0,0,2014-08-03T19:08:48.589Z,0,0
18499,75,UjiZUJPaJo,257015,21203,12314,27990,2014-08-03T19:08:49.565Z,1220306,0,27981,2014-08-03T19:08:49.565Z,26628,35
0,0,09BnFihb8w,0,0,0,0,2014-08-03T19:08:49.571Z,0,0,0,2014-08-03T19:08:49.571Z,0,0
614,69,wRPeBFNaOc,49146,3929,3075,1692,2014-08-03T19:08:50.595Z,161085,0,3738,2014-08-03T19:08:50.595Z,5093,35
0,0,B40tCz4rAo,0,0,0,0,2014-08-03T19:08:51.045Z,0,0,0,2014-08-03T19:08:51.045Z,0,0
31830,66,QOOK3L1mml,155074,8797,9125,12882,2014-08-03T19:08:51.583Z,958218,0,11503,2014-08-03T19:08:51.583Z,44444,23
0,0,qn7yJRExEy,0,0,0,0,2014-08-03T19:08:51.808Z,0,0,0,2014-08-03T19:08:51.808Z,0,0
88498,66,vTciOMGg9A,328728,79041,18550,52647,2014-08-03T19:08:52.576Z,726683,0,23949,2014-08-03T19:08:52.576Z,116696,17
0,0,zQuBNQefHP,0,0,0,0,2014-08-03T19:08:52.821Z,0,0,0,2014-08-03T19:08:52.821Z,0,0
49063,80,d3tGAPSN1I,89018,18031,5248,15996,2014-08-03T19:08:53.573Z,804531,0,27739,2014-08-03T19:08:53.573Z,16593,24
28747,91,soIkyGhD3g,96777,14387,18489,28235,2014-08-03T19:08:54.611Z,712105,0,10445,2014-08-03T19:08:54.611Z,4058,27
18500,81,VSuoVNxQji,146141,17839,4809,7003,2014-08-03T19:08:55.654Z,885240,0,30760,2014-08-03T19:08:55.654Z,13437,43
15957,77,hN1uQ6tYLy,187522,34453,7200,20585,2014-08-03T19:08:56.617Z,1052768,0,9590,2014-08-03T19:08:56.617Z,57875,43
0,0,b6xw5xbXGQ,0,0,0,0,2014-08-03T19:08:56.896Z,0,0,0,2014-08-03T19:08:56.896Z,0,0
0,0,jWldFM7Yhv,0,0,0,0,2014-08-03T19:08:56.960Z,0,0,0,2014-08-03T19:08:56.960Z,0,0
0,0,vCgyuGnFiO,0,0,0,0,2014-08-03T19:08:57.468Z,0,0,0,2014-08-03T19:08:57.468Z,0,0
96405,80,IGAdqwPv5r,278094,38829,9361,5056,2014-08-03T19:08:57.616Z,1514276,0,26519,2014-08-03T19:08:57.616Z,103661,27
0,0,Qjc95DomX7,0,0,0,0,2014-08-03T19:08:57.929Z,0,0,0,2014-08-03T19:08:57.929Z,0,0
0,0,crwY7PzhMP,0,0,0,0,2014-08-03T19:08:58.398Z,0,0,0,2014-08-03T19:08:58.398Z,0,0
5684,80,1Zjoskta1N,13751,2271,2663,3503,2014-08-03T19:08:58.549Z,1093563,0,3164,2014-08-03T19:08:58.549Z,938,37
0,0,zyIt1w5Hbm,0,0,0,0,2014-08-03T19:08:58.918Z,0,0,0,2014-08-03T19:08:58.918Z,0,0
314964,91,31ESeE00Jp,1289304,52638,75669,150879,2014-08-03T19:08:59.537Z,646964,0,93382,2014-08-03T19:08:59.537Z,293754,21
0,0,pQidxRINSl,0,0,0,0,2014-08-03T19:08:59.896Z,0,0,0,2014-08-03T19:08:59.896Z,0,0
0,0,n9ApNht0L1,0,0,0,0,2014-08-03T19:09:00.042Z,0,0,0,2014-08-03T19:09:00.042Z,0,0
52124,91,V0z1OBRiTo,207124,39559,71347,68235,2014-08-03T19:09:00.555Z,1816380,26,87084,2014-08-03T19:09:00.555Z,76279,21
0,0,WMkbJJlb5D,0,0,0,0,2014-08-03T19:09:00.873Z,0,0,0,2014-08-03T19:09:00.873Z,0,0
0,0,wy49NsOqMc,0,0,0,0,2014-08-03T19:09:01.005Z,0,0,0,2014-08-03T19:09:01.005Z,0,0
339786,91,LvHoSnqEor,292917,47143,41066,71414,2014-08-03T19:09:01.667Z,542362,26,49711,2014-08-03T19:09:01.667Z,33132,21
0,0,zjmILeUbo4,0,0,0,0,2014-08-03T19:09:02.497Z,0,0,0,2014-08-03T19:09:02.497Z,0,0
86301,100,XC5X0ZMhvW,199684,16904,54608,47706,2014-08-03T19:09:02.828Z,965563,0,68167,2014-08-03T19:09:02.828Z,117359,38
591430,100,eXMn6dxh9F,1019398,617950,324471,545161,2014-08-03T19:09:03.556Z,579559,26,565133,2014-08-03T19:09:03.556Z,186952,38
0,0,etGkBOXucn,0,0,0,0,2014-08-03T19:09:03.827Z,0,0,0,2014-08-03T19:09:03.827Z,0,0
525311,100,SmSSat5dWP,2012256,679945,410960,106030,2014-08-03T19:09:04.559Z,1481324,26,273652,2014-08-03T19:09:04.559Z,274793,38
25355,80,mQUZRWXDW7,322212,26568,9066,55037,2014-08-03T19:09:05.487Z,130315,0,18774,2014-08-03T19:09:05.487Z,22079,38
1267065,91,RH4PEaRqIt,1626686,661172,904596,477112,2014-08-03T19:09:06.580Z,1480000,0,517119,2014-08-03T19:09:06.580Z,1196470,35
0,0,Ux6wrHfCjN,0,0,0,0,2014-08-03T19:09:06.895Z,0,0,0,2014-08-03T19:09:06.895Z,0,0
100443,91,cXLpu586Ag,381879,190153,26467,63378,2014-08-03T19:09:07.527Z,910749,26,75335,2014-08-03T19:09:07.527Z,173226,35
0,0,k18L93zR64,0,0,0,0,2014-08-03T19:09:07.855Z,0,0,0,2014-08-03T19:09:07.855Z,0,0
2777,91,EjfZ3JvOOo,15526,4480,6898,3060,2014-08-03T19:09:08.517Z,151492,26,3908,2014-08-03T19:09:08.517Z,2412,35
